계약일,연도,업무,유형,수요기관,업체,계약금액,계약명,계약방법,링크
2025-07-15,2025,용역,D. 시스템·IoT 구축/유지,전북특별자치도 남원시 보건소,천일정보기술 주식회사,123500000,치매환자 24시 스마트 건강돌봄 확대 용역,제한경쟁,http://www.g2b.go.kr
2024-06-25,2024,용역,D. 시스템·IoT 구축/유지,전북특별자치도 남원시 보건소,주식회사 링크로드,81000000,치매환자 24시간 스마트 건강돌봄 장비 설치 용역,수의계약,http://www.g2b.go.kr
2024-07-18,2024,용역,D. 시스템·IoT 구축/유지,전북특별자치도 남원시 보건소,주식회사 링크로드,81000000,치매환자 24시간 스마트 건강돌봄 장비 설치 용역,수의계약,http://www.g2b.go.kr
2026-01-07,2026,용역,D. 시스템·IoT 구축/유지,전북특별자치도 남원시 보건소,주식회사 씨스원,61628350,2026년 치매환자 24시 스마트 건강 돌봄 유지보수 용역,수의계약,http://www.g2b.go.kr
2024-08-01,2024,용역,E. VR·체험 콘텐츠,충청북도 청주시 서원보건소,키이스케이프 주식회사,44900000,체험형 치매인식개선 콘텐츠 제작 용역  계약,수의계약,http://www.g2b.go.kr
2024-08-02,2024,용역,E. VR·체험 콘텐츠,충청북도 청주시 서원보건소,키이스케이프 주식회사,44900000,체험형 치매인식개선 콘텐츠 제작 용역  계약,수의계약,http://www.g2b.go.kr
2026-01-28,2026,용역,G. 오프라인 프로그램 운영,전남광주통합특별시 광양시 보건소,노리몰,39870740,2026년 뇌 청춘 건강 100세 치매예방 프로그램 운영용역,제한경쟁,http://www.g2b.go.kr
2025-04-11,2025,용역,D. 시스템·IoT 구축/유지,전북특별자치도 남원시 보건소,천일정보기술 주식회사,35800000,남원시보건소 치매환자 24시 스마트 건강돌봄 유지보수 용역,수의계약,http://www.g2b.go.kr
2026-04-28,2026,용역,D. 시스템·IoT 구축/유지,전북특별자치도 남원시 보건소,천일정보기술 주식회사,21000000,2026년 치매환자 24시 스마트 건강돌봄 유지보수 용역,수의계약,http://www.g2b.go.kr
2026-01-13,2026,용역,C. 앱·모바일 SW,전북특별자치도 남원시 보건소,(주)펀웨이브,13734000,2026년 모바일 치매예방교육 앱 기억하리 유지보수 용역,수의계약,http://www.g2b.go.kr
